school_type, state, total_enrolments, school_sector, girls_enrolments, icsea, teaching_staff, full_time_equivalent_enrolments, language_background_other_than_english, boys_enrolments, year_range, geolocation, suburb, ogc_fid, abs_remoteness_area, calendar_year, longitude, latitude
"Combined","TAS",213,"Government",101,916,23,204.0,1,112,"K-12","Outer Regional","Campbell Town",74578,"Outer Regional Australia","2016",147.4909676,-41.92446399
"Combined","TAS",336,"Government",154,939,30,325.2,0,182,"K-10","Outer Regional","Cressy",74579,"Outer Regional Australia","2016",147.0771548,-41.69093755
"Primary","TAS",113,"Government",51,981,10,108.6,2,62,"K-6","Outer Regional","Dunalley",74580,"Outer Regional Australia","2016",147.8121586,-42.88518675
"Secondary","TAS",341,"Government",151,943,32,339.4,1,190,"7-Oct","Outer Regional","Exeter",74581,"Outer Regional Australia","2016",146.9575218,-41.30062736
"Combined","TAS",170,"Government",82,968,17,162.4,3,88,"K-10","Very Remote","Currie",74582,"Very Remote Australia","2016",143.8559413,-39.92665469
"Secondary","TAS",735,"Government",330,995,59,735.0,5,405,"7-Oct","Inner Regional","Kingston",74583,"Inner Regional Australia","2016",147.3081315,-42.97371542
"Secondary","TAS",501,"Government",262,954,40,501.0,5,239,"7-Oct","Inner Regional","Kings Meadows",74584,"Inner Regional Australia","2016",147.1595691,-41.47386659
"Secondary","TAS",745,"Government",745,970,59,745.0,11,0,"7-Oct","Inner Regional","New Town",74585,"Inner Regional Australia","2016",147.3004693,-42.85444367
"Secondary","TAS",424,"Government",214,942,37,423.6,6,210,"7-Oct","Inner Regional","Prospect",74586,"Inner Regional Australia","2016",147.1309319,-41.47580035
"Secondary","TAS",710,"Government",363,1023,50,710.0,3,347,"7-Oct","Inner Regional","Riverside",74587,"Inner Regional Australia","2016",147.099558,-41.40905097
"Secondary","TAS",296,"Government",136,875,29,291.7,1,160,"7-Dec","Outer Regional","Smithton",74588,"Outer Regional Australia","2016",145.1164488,-40.83816677
"Combined","TAS",746,"Government",348,920,53,726.6,0,398,"K-10","Inner Regional","Sorell",74589,"Inner Regional Australia","2016",147.5606233,-42.78592321
"Secondary","TAS",959,"Government",429,1112,73,958.6,11,530,"7-Oct","Inner Regional","Taroona",74590,"Inner Regional Australia","2016",147.3549237,-42.9429624
"Combined","TAS",232,"Government",113,931,23,228.0,1,119,"K-12","Outer Regional","Nubeena",74591,"Outer Regional Australia","2016",147.7470655,-43.09833639
"Combined","TAS",117,"Government",58,887,12,113.8,0,59,"K-10","Outer Regional","Winnaleah",74592,"Outer Regional Australia","2016",147.8238657,-41.09549637
"Combined","TAS",230,"Government",97,973,24,225.6,3,133,"K-10","Outer Regional","Woodbridge",74593,"Outer Regional Australia","2016",147.239683,-43.164652
"Combined","TAS",223,"Government",102,920,18,214.2,0,121,"K-10","Outer Regional","Yolla",74594,"Outer Regional Australia","2016",145.7200995,-41.12266948
"Primary","TAS",281,"Government",136,940,28,269.4,9,145,"K-6","Inner Regional","Invermay",74595,"Inner Regional Australia","2016",147.131384,-41.42163515
"Primary","TAS",484,"Government",232,925,37,460.8,23,252,"K-6","Inner Regional","Mowbray",74596,"Inner Regional Australia","2016",147.133413,-41.40275864
"Secondary","TAS",719,"Government",303,973,54,719.0,5,416,"7-Oct","Inner Regional","Rose Bay",74597,"Inner Regional Australia","2016",147.3589167,-42.86154099
"Secondary","TAS",640,"Government",325,942,51,640.0,5,315,"7-Oct","Inner Regional","Norwood",74598,"Inner Regional Australia","2016",147.176075,-41.45195332
"Secondary","TAS",527,"Government",249,959,42,527.0,3,278,"7-Oct","Inner Regional","Devonport",74599,"Inner Regional Australia","2016",146.3487704,-41.17795098
"Primary","TAS",401,"Catholic",192,1066,28,401.0,0,209,"Prep-6","Inner Regional","Launceston",74600,"Inner Regional Australia","2016",147.133337,-41.445
"Primary","TAS",274,"Government",129,1122,18,260.6,21,145,"K-6","Inner Regional","Battery Point",74601,"Inner Regional Australia","2016",147.325883,-42.89123278
"Primary","TAS",269,"Government",133,1008,19,253.0,14,136,"K-6","Inner Regional","North Hobart",74602,"Inner Regional Australia","2016",147.3226832,-42.87254263
"Primary","TAS",248,"Government",110,1131,15,235.2,3,138,"K-6","Inner Regional","West Hobart",74603,"Inner Regional Australia","2016",147.316925,-42.88779991
"Primary","TAS",420,"Government",200,1126,28,400.0,4,220,"K-6","Inner Regional","West Hobart",74604,"Inner Regional Australia","2016",147.30871,-42.882125
"Primary","TAS",342,"Government",142,1116,20,324.4,4,200,"K-6","Inner Regional","Mount Stuart",74605,"Inner Regional Australia","2016",147.2990696,-42.87507847
"Primary","TAS",378,"Government",167,1135,28,353.6,3,211,"K-6","Inner Regional","South Hobart",74606,"Inner Regional Australia","2016",147.309568,-42.891817
